name_filebased,label,type_var,type_data,type_level
participant_id,Participant ID,administrative,text,nominal
dt,Month residential history reported (adjusted to 1st of month) tied to session_id,administrative,date,interval
distr_id,pseudo district ID,administrative,text,nominal
grade,"Grade reported (3= third grade, 12= 12th grade)",administrative,integer,ratio
homeschl_indicator,Homeschooled indicator,administrative,character,nominal
ols_all_mean_2019,"Administrative District Average Test Score, Math & RLA, OL, CS for all students in 2019",summary score,double,ratio
ols_fem_mean_2019,"Administrative District Average Test Score, Math & RLA, OL, CS for female students in 2019",summary score,double,ratio
ols_mal_mean_2019,"Administrative District Average Test Score, Math & RLA, OL, CS for male students in 2019",summary score,double,ratio
ols_ecd_mean_2019,"Administrative District Average Test Score, Math & RLA, OL, CS for econonomically disadvantaged students in 2019",summary score,double,ratio
ols_nec_mean_2019,"Administrative District Average Test Score, Math & RLA, OL, CS for not economically disadvantaged students in 2019",summary score,double,ratio
ols_all_mean_2022,"Administrative District Average Test Score, Math & RLA, OL, CS for all students in 2022",summary score,double,ratio
ols_fem_mean_2022,"Administrative District Average Test Score, Math & RLA, OL, CS for female students in 2022",summary score,double,ratio
ols_mal_mean_2022,"Administrative District Average Test Score, Math & RLA, OL, CS for male students in 2022",summary score,double,ratio
ols_ecd_mean_2022,"Administrative District Average Test Score, Math & RLA, OL, CS for econonomically disadvantaged students in 2022",summary score,double,ratio
ols_nec_mean_2022,"Administrative District Average Test Score, Math & RLA, OL, CS for not economically disadvantaged students in 2022",summary score,double,ratio
ols_all_mean_2023,"Administrative District Average Test Score, Math & RLA, OL, CS for all students in 2023",summary score,double,ratio
ols_fem_mean_2023,"Administrative District Average Test Score, Math & RLA, OL, CS for female students in 2023",summary score,double,ratio
ols_mal_mean_2023,"Administrative District Average Test Score, Math & RLA, OL, CS for male students in 2023",summary score,double,ratio
ols_ecd_mean_2023,"Administrative District Average Test Score, Math & RLA, OL, CS for econonomically disadvantaged students in 2023",summary score,double,ratio
ols_nec_mean_2023,"Administrative District Average Test Score, Math & RLA, OL, CS for not economically disadvantaged students in 2023",summary score,double,ratio
ols_all_mean_2024,"Administrative District Average Test Score, Math & RLA, OL, CS for all students in 2024",summary score,double,ratio
ols_fem_mean_2024,"Administrative District Average Test Score, Math & RLA, OL, CS for female students in 2024",summary score,double,ratio
ols_mal_mean_2024,"Administrative District Average Test Score, Math & RLA, OL, CS for male students in 2024",summary score,double,ratio
ols_ecd_mean_2024,"Administrative District Average Test Score, Math & RLA, OL, CS for econonomically disadvantaged students in 2024",summary score,double,ratio
ols_nec_mean_2024,"Administrative District Average Test Score, Math & RLA, OL, CS for not economically disadvantaged students in 2024",summary score,double,ratio
eb_all_mean_2019,"Administrative District Average Test Score, Math & RLA, EB, CS for all students in 2019",summary score,double,ratio
eb_fem_mean_2019,"Administrative District Average Test Score, Math & RLA, EB, CS for female students in 2019",summary score,double,ratio
