name,label,type_data,type_level
participant_id,Participant ID,text,nominal
session_id,Session ID,character,nominal
dt,Date of application use,date,interval
dt_day,Day of the week for date of application use,character,ordinal
dt_wknd,Whether date of application use was on a weekend day (Sat/Sun) or not,logical,nominal
dtt,Date/time of application use,timestamp,interval
category,Google Play Store application category,character,nominal
app,Application ID,text,nominal
class,Application class ID to which the event corresponds,text,nominal
ver_api,Android API version used to retrieve data,character,nominal
event,Application usage event ID,character,nominal
