name,label,type_data,type_level
participant_id,Participant ID,text,nominal
dt,Month residential history reported (adjusted to 1st of month) tied to session_id,date,interval
distr_id,District ID,text,nominal
schl_id,School ID,text,nominal
grade,"Grade reported (3= third grade, 12= 12th grade)",integer,ratio
homeschl_indicator,Indicator of if participant is homeschooled,character,nominal
distr_all_center_grade,Grade used for centering in pooling [SEDA; District] all students,double,interval
distr_ecd_center_grade,Grade used for centering in pooling [SEDA; District] econonomically disadvantaged students,double,interval
distr_fem_center_grade,Grade used for centering in pooling [SEDA; District] female students,double,interval
distr_mal_center_grade,Grade used for centering in pooling [SEDA; District] male students,double,interval
distr_mfg_center_grade,Grade used for centering in pooling [SEDA; District] male to female gap,double,interval
distr_nec_center_grade,Grade used for centering in pooling [SEDA; District] not economically disadvantaged,double,interval
distr_neg_center_grade,Grade used for centering in pooling [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap,double,interval
distr_all_asmts_count,Total number of math & RLA assessments [SEDA; District] all students,integer,ratio
distr_ecd_asmts_count,Total number of math & RLA assessments [SEDA; District] econonomically disadvantaged students,integer,ratio
distr_fem_asmts_count,Total number of math & RLA assessments [SEDA; District] female students,integer,ratio
distr_mal_asmts_count,Total number of math & RLA assessments [SEDA; District] male students,integer,ratio
distr_mfg_asmts_count,Total number of math & RLA assessments [SEDA; District] male to female gap,integer,ratio
distr_nec_asmts_count,Total number of math & RLA assessments [SEDA; District] not economically disadvantaged,integer,ratio
distr_neg_asmts_count,Total number of math & RLA assessments [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap,integer,ratio
distr_all_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] all students,double,ratio
distr_ecd_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] econonomically disadvantaged students,double,ratio
distr_fem_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] female students,double,ratio
distr_mal_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] male students,double,ratio
distr_mfg_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] male to female gap,double,ratio
distr_nec_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] not economically disadvantaged,double,ratio
distr_neg_asmts_mean,Mean number of math + RLA assessments (tot_asmts/cellcount) [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap,double,ratio
distr_ols_all_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
distr_ols_mal_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] male students",double,ratio
distr_ols_mfg_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] male to female gap",double,ratio
distr_ols_nec_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] not economically disadvantaged",double,ratio
distr_ols_neg_mean,"Administrative district mean achievementievement, Math & RLA, OL, CS [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap",double,ratio
distr_ols_all_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
distr_ols_mal_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] male students",double,ratio
distr_ols_mfg_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] male to female gap",double,ratio
distr_ols_nec_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] not economically disadvantaged",double,ratio
distr_ols_neg_coh_slope,"Administrative district cohort slope of mean achievement, Math & RLA, OL, CS [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap",double,ratio
distr_ols_all_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
distr_ols_mal_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] male students",double,ratio
distr_ols_mfg_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] male to female gap",double,ratio
distr_ols_nec_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] not economically disadvantaged",double,ratio
distr_ols_neg_grade_slope,"Administrative district grade slope of mean achievement, Math & RLA, OL, CS [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap",double,ratio
distr_ols_all_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
distr_ols_mal_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] male students",double,ratio
distr_ols_mfg_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] male to female gap",double,ratio
distr_ols_nec_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] not economically disadvantaged",double,ratio
distr_ols_neg_diff,"Administrative district Math-RLA Diff in mean achievement, Math & RLA, OL, CS [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap",double,ratio
distr_ols_all_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
distr_ols_mal_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] male students",double,ratio
distr_ols_mfg_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] male to female gap",double,ratio
distr_ols_nec_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] not economically disadvantaged",double,ratio
distr_ols_neg_mean_se,"Administrative district SE of mean achievement, Math & RLA, OL, CS [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap",double,ratio
distr_ols_all_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
distr_ols_mal_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] male students",double,ratio
distr_ols_mfg_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] male to female gap",double,ratio
distr_ols_nec_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] not economically disadvantaged",double,ratio
distr_ols_neg_coh_slope_se,"Administrative district SE of Cohort Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] not econonomically disadvantaged-economically disadvantaged gap",double,ratio
distr_ols_all_grade_slope_se,"Administrative district SE of Grade Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] all students",double,ratio
distr_ols_ecd_grade_slope_se,"Administrative district SE of Grade Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] econonomically disadvantaged students",double,ratio
distr_ols_fem_grade_slope_se,"Administrative district SE of Grade Slope of mean achievement, Math & RLA, OL, CS [SEDA; District] female students",double,ratio
