category_abcd,category_ios,category_andr
art,graphics,art
books,book,books
books,reference,books
business,business,business
education,education,education
entertainment,entertainment,comics
entertainment,entertainment,entertainment
entertainment,entertainment,events
finance,finance,finance
food,food,food
games,games,gameaction
games,games,gameadventure
games,games,gamearcade
games,games,gameboard
games,games,gamecard
games,games,gamecasino
games,games,gamecasual
games,games,gameeducational
games,games,gamemusic
games,games,gamepuzzle
games,games,gameracing
games,games,gameroleplay
games,games,gamesimulation
games,games,gamesports
games,games,gamestrategy
games,games,gametrivia
games,games,gameword
health,health,health
lifestyle,lifestyle,beauty
lifestyle,lifestyle,house
lifestyle,lifestyle,lifestyle
lifestyle,lifestyle,parenting
medical,medical,medical
music,music,music
navigation,navigation,maps
news,magazines,news
news,news,news
photography,photo,photography
photography,photo,video
productivity,productivity,productivity
shopping,shopping,auto
shopping,shopping,shopping
social,social,communication
social,social,dating
social,social,social
sports,sports,sports
tools_utilities,utilities,libraries
tools_utilities,utilities,personalization
tools_utilities,utilities,tools
tools_utilities,developer,libraries
tools_utilities,developer,personalization
tools_utilities,developer,tools
travel,travel,travel
weather,weather,weather
,stickers,
