filename,csv,parquet,memory,Description
fitbit_raw_activity,36G,3.4G,~22.3 GB,"Heart rate, steps, METs, intensity at 1-minute resolution for all events"
fitbit_raw_metrics,26M,3.1M,~18.6 MB,"Daily metrics generated by Fitbit (resting heart rate, steps, intensity-level minutes) for all events"
fitbit_raw_sleep_30,12G,1.3G,~7.2 GB,Sleep staging in 30-second epochs for all events
fitbit_raw_sleep_60,7.4G,709M,~4.6 GB,Sleep staging in 60-second epochs for all events
fitbit_raw_sleep,17G,1.8G,~10.9 GB,Combined sleep from 30s and 60s datasets transformed to 30s resolution for all events
fitbit_covid_raw_activity,1.9G,172M,~1.2 GB,"Heart rate, steps, METs, intensity at 1-minute resolution for COVID substudy"
fitbit_covid_raw_metrics,1.2M,159K,~0.8 MB,Daily metrics generated by Fitbit for COVID substudy
fitbit_covid_raw_sleep_30,463M,50M,~322.2 MB,Sleep staging in 30-second epochs for COVID substudy
fitbit_covid_raw_sleep_60,360M,30M,~239.3 MB,Sleep staging in 60-second epochs for COVID substudy
fitbit_covid_raw_sleep,812M,84M,~563 MB,Combined sleep from 30s and 60s datasets transformed to 30s resolution for COVID substudy
fitbit_ss_activity_day,81M,16M,~56.3 MB,Daily-level activity summary scores for all events
fitbit_ss_activity_day_ext,81M,16M,~53.6 MB,Daily-level activity summary scores using the extended sleep framework
fitbit_ss_activity_week,20M,5.0M,~16.7 MB,Week-level activity summary scores for all events
fitbit_ss_activity_week_ext,20M,5.0M,~16.7 MB,Week-level activity summary scores using the extended sleep framework
fitbit_ss_sleep_day,65M,12M,~109.2 MB,Daily-level sleep summary scores for all events
fitbit_ss_sleep_day_ext,65M,12M,~108.2 MB,Daily-level sleep summary scores using the extended sleep framework
fitbit_ss_sleep_week,29M,5.1M,~34.3 MB,Week-level sleep summary scores for all events
fitbit_ss_sleep_week_ext,29M,5.2M,~34.0 MB,Week-level sleep summary scores using the extended sleep framework
fitbit_covid_ss_activity_day,4.0M,870K,~2.9 MB,Daily-level activity summary scores for COVID substudy
fitbit_covid_ss_activity_day_ext,4.0M,874K,~2.9 MB,Daily-level activity summary scores for COVID substudy using the extended sleep framework
fitbit_covid_ss_activity_week,971K,314K,~0.8 MB,Week-level activity summary scores for COVID substudy
fitbit_covid_ss_activity_week_ext,970K,314K,~0.8 MB,Week-level activity summary scores for COVID substudy using the extended sleep framework
fitbit_covid_ss_sleep_day,1.6M,206K,~3.2 MB,Daily-level sleep summary scores for COVID substudy
fitbit_covid_ss_sleep_day_ext,1.6M,216K,~3.2 MB,Daily-level sleep summary scores for COVID substudy using the extended sleep framework
fitbit_covid_ss_sleep_week,306K,128K,~0.5 MB,Week-level sleep summary scores for COVID substudy
fitbit_covid_ss_sleep_week_ext,306K,128K,~0.5 MB,Week-level sleep summary scores for COVID substudy using the extended sleep framework
