name,ksads1_id,ksads2_id
mh_p/y_ksads__dep__screen__pres_001,95,95
mh_p/y_ksads__dep__screen__past_001,96,96
mh_p/y_ksads__dep__screen__past_001__01,97,
mh_p/y_ksads__dep__screen__pres_002,98,97
mh_p/y_ksads__dep__screen__past_002,99,98
mh_p/y_ksads__dep__screen__past_002__01,100,
mh_p/y_ksads__dep__screen__pres_003,101,99
mh_p/y_ksads__dep__screen__past_003,102,100
mh_p/y_ksads__dep__screen__past_003__01,103,
mh_p/y_ksads__dep__screen__pres_004a__mo,104,101
mh_p/y_ksads__dep__screen__pres_004b__mo,105,102
mh_p/y_ksads__dep__screen__pres_004c__mo,106,103
mh_p/y_ksads__dep__screen__pres_004d__mo,107,104
mh_p/y_ksads__dep__screen__pres_004e__mo,108,105
mh_p/y_ksads__dep__screen__pres_004f__mo,109,106
mh_p/y_ksads__dep__screen__pres_004g__mo,110,107
mh_p/y_ksads__dep__screen__past_004a__mo,111,108
mh_p/y_ksads__dep__screen__past_004b__mo,112,109
mh_p/y_ksads__dep__screen__past_004c__mo,113,110
mh_p/y_ksads__dep__screen__past_004d__mo,114,111
mh_p/y_ksads__dep__screen__past_004e__mo,115,112
mh_p/y_ksads__dep__screen__past_004f__mo,116,113
mh_p/y_ksads__dep__screen__past_004g__mo,117,114
mh_p/y_ksads__dep__screen__past_004__01__wk,118,115
mh_p/y_ksads__gad__screen__pres_001,271,198
mh_p/y_ksads__gad__screen__pres_001__01__mo,272,199
mh_p/y_ksads__gad__screen__pres_001__01__yr,272,199
mh_p/y_ksads__gad__screen__past_001,273,200
mh_p/y_ksads__gad__screen__past_001__01,274,
mh_p/y_ksads__gad__screen__past_001__01__mo,275,201
mh_p/y_ksads__gad__screen__past_001__01__yr,275,201
mh_p/y_ksads__ocd__screen__pres/past_,276,202
mh_p/y_ksads__ocd__screen__pres_001___1,277,203
mh_p/y_ksads__ocd__screen__pres_001___2,278,
mh_p/y_ksads__ocd__screen__pres_001___3,279,204
mh_p/y_ksads__ocd__screen__pres_001___4,280,205
mh_p/y_ksads__ocd__screen__pres_001___5,281,206
mh_p/y_ksads__ocd__screen__pres_001___6,282,207
mh_p/y_ksads__ocd__screen__pres_001___7,283,208
mh_p/y_ksads__ocd__screen__pres_001___8,284,209
mh_p/y_ksads__ocd__screen__pres_001__01__mo,285,210
mh_p/y_ksads__ocd__screen__pres_001__01__yr,285,210
mh_p/y_ksads__ocd__screen__past_001__01,286,
mh_p/y_ksads__ocd__screen__past_001__01__01,287,
mh_p/y_ksads__ocd__screen__past_001__01__02__mo,288,
mh_p/y_ksads__ocd__screen__past_001__01__02__yr,288,
mh_p/y_ksads__ocd__screen__past_,289,
mh_p/y_ksads__ocd__screen__past_001___1,290,
mh_p/y_ksads__ocd__screen__past_001___2,291,
mh_p/y_ksads__ocd__screen__past_001___3,292,
mh_p/y_ksads__ocd__screen__past_001___4,293,
mh_p/y_ksads__ocd__screen__past_001___5,294,
mh_p/y_ksads__ocd__screen__past_001___6,295,
mh_p/y_ksads__ocd__screen__past_001___7,296,
mh_p/y_ksads__ocd__screen__past_001___8,297,
mh_p/y_ksads__ocd__screen__past_001__03__mo,298,
mh_p/y_ksads__ocd__screen__past_001__03__wk,298,
mh_p/y_ksads__ocd__screen__past_001__03__yr,298,
mh_p/y_ksads__ocd__screen__pres_,299,211
mh_p/y_ksads__ocd__screen__pres_002___1,300,212
mh_p/y_ksads__ocd__screen__pres_002___2,301,213
mh_p/y_ksads__ocd__screen__pres_002___3,302,214
mh_p/y_ksads__ocd__screen__pres_002___4,303,215
mh_p/y_ksads__ocd__screen__pres_002___5,304,
mh_p/y_ksads__ocd__screen__pres_002___6,305,216
mh_p/y_ksads__ocd__screen__pres_002___7,306,217
mh_p/y_ksads__ocd__screen__pres_002___8,307,218
mh_p/y_ksads__ocd__screen__pres_002___9,308,219
mh_p/y_ksads__ocd__screen__pres_002___10,309,220
mh_p/y_ksads__ocd__screen__pres_002__01__mo,310,221
mh_p/y_ksads__ocd__screen__pres_002__01__yr,310,221
mh_p/y_ksads__ocd__screen__past_002__01,311,
mh_p/y_ksads__ocd__screen__pres_002__01__01,312,
mh_p/y_ksads__ocd__screen__past_002__01__02__mo,313,
mh_p/y_ksads__ocd__screen__past_002__01__02__yr,313,
mh_p/y_ksads__ocd__screen__past_,314,
mh_p/y_ksads__ocd__screen__past_002___1,315,
mh_p/y_ksads__ocd__screen__past_002___2,316,
mh_p/y_ksads__ocd__screen__past_002___3,317,
mh_p/y_ksads__ocd__screen__past_002___4,318,
mh_p/y_ksads__ocd__screen__past_002___5,319,
mh_p/y_ksads__ocd__screen__past_002___6,320,
mh_p/y_ksads__ocd__screen__past_002___7,321,
mh_p/y_ksads__ocd__screen__past_002___8,322,
mh_p/y_ksads__ocd__screen__past_002___9,323,
mh_p/y_ksads__ocd__screen__past_002___10,324,
mh_p/y_ksads__ocd__screen__past_002__03__mo,325,
mh_p/y_ksads__ocd__screen__past_002__03__wk,325,
mh_p/y_ksads__ocd__screen__past_002__03__yr,325,
mh_p/y_ksads__ed__screen__pres_001,358,254
mh_p/y_ksads__ed__screen__past_001,361,257
mh_p/y_ksads__ed__screen__past_001__01,362,
mh_p/y_ksads__ed__screen__pres_002__ft,359,255
mh_p/y_ksads__ed__screen__pres_002__01__mo,360,256
mh_p/y_ksads__ed__screen__pres_002__01__wk,360,256
mh_p/y_ksads__ed__screen__past_002__01__ft,363,258
mh_p/y_ksads__ed__screen__past_002__01__in,363,258
mh_p/y_ksads__ed__screen__past_002__01__weight,363,258
mh_p/y_ksads__ed__screen__past_002__02__mo,364,
mh_p/y_ksads__ed__screen__past_002__02__yr,364,
mh_p/y_ksads__ed__screen__pres_003,365,259
mh_p/y_ksads__ed__screen__past_003,366,260
mh_p/y_ksads__ed__screen__past_003__01,367,
mh_p/y_ksads__ed__screen__pres_004,368,261
mh_p/y_ksads__ed__screen__past_004,369,262
mh_p/y_ksads__ed__screen__past_004__01,370,
mh_p/y_ksads__ed__screen__pres_005,371,263
mh_p/y_ksads__ed__screen__past_005,372,264
mh_p/y_ksads__ed__screen__past_005__mo,372,264
mh_p/y_ksads__ed__screen__past_005__yr,372,264
mh_p/y_ksads__ed__screen__past_005__01,373,
mh_p/y_ksads__ed__screen__past_005__01__mo,373,
mh_p/y_ksads__ed__screen__past_005__01__yr,373,
mh_p/y_ksads__ed__screen__pres_006a__mo,374,265
mh_p/y_ksads__ed__screen__pres_006a__yr,374,265
mh_p/y_ksads__ed__screen__pres_006b__mo,375,266
mh_p/y_ksads__ed__screen__pres_006b__yr,375,266
mh_p/y_ksads__ed__screen__pres_006c__mo,376,267
mh_p/y_ksads__ed__screen__pres_006c__yr,376,267
mh_p/y_ksads__ed__screen__pres_006d__mo,377,268
mh_p/y_ksads__ed__screen__pres_006d__yr,377,268
mh_p/y_ksads__ed__screen__pres_006e__mo,378,269
mh_p/y_ksads__ed__screen__pres_006e__yr,378,269
mh_p/y_ksads__ed__screen__pres_006f__mo,379,270
mh_p/y_ksads__ed__screen__pres_006f__yr,379,270
mh_p/y_ksads__ed__screen__pres_006g__mo,380,271
mh_p/y_ksads__ed__screen__pres_006g__yr,380,271
mh_p/y_ksads__ed__screen__pres_006h__mo,381,272
mh_p/y_ksads__ed__screen__pres_006h__yr,381,272
mh_p/y_ksads__ed__screen__pres_006i__mo,382,273
mh_p/y_ksads__ed__screen__pres_006i__yr,382,273
mh_p/y_ksads__ed__screen__pres_006j__mo,383,274
mh_p/y_ksads__ed__screen__pres_006j__yr,383,274
mh_p/y_ksads__ed__screen__pres_006k__mo,384,275
mh_p/y_ksads__ed__screen__pres_006k__yr,384,275
mh_p/y_ksads__ed__screen__pres_006l__mo,385,276
mh_p/y_ksads__ed__screen__pres_006l__yr,385,276
mh_p/y_ksads__ed__screen__pres_006m__mo,386,277
mh_p/y_ksads__ed__screen__pres_006m__yr,386,277
mh_p/y_ksads__ed__screen__pres_006n__mo,387,278
mh_p/y_ksads__ed__screen__pres_006n__yr,387,278
mh_p/y_ksads__ed__screen__pres_006o__mo,388,279
mh_p/y_ksads__ed__screen__pres_006o__yr,388,279
mh_p/y_ksads__ed__screen__past_006a__mo,389,
mh_p/y_ksads__ed__screen__past_006a__yr,389,
mh_p/y_ksads__ed__screen__past_006b__mo,390,
mh_p/y_ksads__ed__screen__past_006b__yr,390,
mh_p/y_ksads__ed__screen__past_006c__mo,391,
mh_p/y_ksads__ed__screen__past_006c__yr,391,
mh_p/y_ksads__ed__screen__past_006d__mo,392,
mh_p/y_ksads__ed__screen__past_006d__yr,392,
mh_p/y_ksads__ed__screen__past_006e__mo,393,
mh_p/y_ksads__ed__screen__past_006e__yr,393,
mh_p/y_ksads__ed__screen__past_006f__mo,394,
mh_p/y_ksads__ed__screen__past_006f__yr,394,
mh_p/y_ksads__ed__screen__past_006g__mo,395,
mh_p/y_ksads__ed__screen__past_006g__yr,395,
mh_p/y_ksads__ed__screen__past_006h__mo,396,
mh_p/y_ksads__ed__screen__past_006h__yr,396,
mh_p/y_ksads__ed__screen__past_006i__mo,397,
mh_p/y_ksads__ed__screen__past_006i__yr,397,
mh_p/y_ksads__ed__screen__past_006j__mo,398,
mh_p/y_ksads__ed__screen__past_006j__yr,398,
mh_p/y_ksads__ed__screen__past_006k__mo,399,
mh_p/y_ksads__ed__screen__past_006k__yr,399,
mh_p/y_ksads__ed__screen__past_006l__mo,400,
mh_p/y_ksads__ed__screen__past_006l__yr,400,
mh_p/y_ksads__ed__screen__past_006m__mo,401,
mh_p/y_ksads__ed__screen__past_006m__yr,401,
mh_p/y_ksads__ed__screen__past_006n__mo,402,
mh_p/y_ksads__ed__screen__past_006n__yr,402,
mh_p/y_ksads__ed__screen__past_006o__mo,403,
mh_p/y_ksads__ed__screen__past_006o__yr,403,
mh_p/y_ksads__adhd__screen__pres_001,404,280
mh_p/y_ksads__adhd__screen__pres_001__01,405,281
mh_p/y_ksads__adhd__screen__past_001,406,282
mh_p/y_ksads__adhd__screen__past_001__01,407,
mh_p/y_ksads__adhd__screen__past_001__02,408,283
mh_p/y_ksads__adhd__screen__pres_002,409,284
mh_p/y_ksads__adhd__screen__pres_002__01,410,285
mh_p/y_ksads__adhd__screen__past_002,411,286
mh_p/y_ksads__adhd__screen__past_002__01,412,
mh_p/y_ksads__adhd__screen__past_002__02,413,287
mh_p/y_ksads__adhd__screen__pres_003,414,288
mh_p/y_ksads__adhd__screen__pres_003__01,415,289
mh_p/y_ksads__adhd__screen__past_003,416,290
mh_p/y_ksads__adhd__screen__past_003__01,417,
mh_p/y_ksads__adhd__screen__past_003__02,418,291
