table_name,difference,name,details
le_l_demo__cnty,TABLE exists in 6.1 but not in 7.0,,
le_l_demo__distr,TABLE exists in 6.1 but not in 7.0,,
le_l_demo__metro,TABLE exists in 6.1 but not in 7.0,,
le_l_demo__schl,TABLE exists in 6.1 but not in 7.0,,
le_l_math__cnty,TABLE exists in 6.1 but not in 7.0,,
le_l_math__comz,TABLE exists in 6.1 but not in 7.0,,
le_l_math__distr,TABLE exists in 6.1 but not in 7.0,,
le_l_math__metro,TABLE exists in 6.1 but not in 7.0,,
le_l_pool__cnty,TABLE exists in 6.1 but not in 7.0,,
le_l_pool__comz,TABLE exists in 6.1 but not in 7.0,,
le_l_pool__distr,TABLE exists in 6.1 but not in 7.0,,
le_l_pool__metro,TABLE exists in 6.1 but not in 7.0,,
le_l_pool__schl,TABLE exists in 6.1 but not in 7.0,,
le_l_read__cnty,TABLE exists in 6.1 but not in 7.0,,
le_l_read__comz,TABLE exists in 6.1 but not in 7.0,,
le_l_read__distr,TABLE exists in 6.1 but not in 7.0,,
le_l_read__metro,TABLE exists in 6.1 but not in 7.0,,
fc_y_ag,TABLE exists in 7.0 but not in 6.1,,
fc_y_ev,TABLE exists in 7.0 but not in 6.1,,
fc_y_lone,TABLE exists in 7.0 but not in 6.1,,
le_l_seda__distr,TABLE exists in 7.0 but not in 6.1,,
le_l_seda__schl,TABLE exists in 7.0 but not in 6.1,,
le_l_sedaadm,TABLE exists in 7.0 but not in 6.1,,
le_l_sedarec__distr,TABLE exists in 7.0 but not in 6.1,,
mh_y_ppsss,TABLE exists in 7.0 but not in 6.1,,
recover_p_adm,TABLE exists in 7.0 but not in 6.1,,
recover_p_atr,TABLE exists in 7.0 but not in 6.1,,
recover_p_cbh,TABLE exists in 7.0 but not in 6.1,,
recover_p_cchs,TABLE exists in 7.0 but not in 6.1,,
recover_p_cfi,TABLE exists in 7.0 but not in 6.1,,
recover_p_chscg,TABLE exists in 7.0 but not in 6.1,,
recover_p_cth,TABLE exists in 7.0 but not in 6.1,,
recover_p_cthcg,TABLE exists in 7.0 but not in 6.1,,
recover_p_demo,TABLE exists in 7.0 but not in 6.1,,
recover_p_democg,TABLE exists in 7.0 but not in 6.1,,
recover_p_fcih,TABLE exists in 7.0 but not in 6.1,,
recover_p_fcihcg,TABLE exists in 7.0 but not in 6.1,,
recover_p_hcn,TABLE exists in 7.0 but not in 6.1,,
recover_p_hcq,TABLE exists in 7.0 but not in 6.1,,
recover_p_hcqcg,TABLE exists in 7.0 but not in 6.1,,
recover_p_miscpots,TABLE exists in 7.0 but not in 6.1,,
recover_p_mrci,TABLE exists in 7.0 but not in 6.1,,
recover_p_mrcicg,TABLE exists in 7.0 but not in 6.1,,
recover_p_promis,TABLE exists in 7.0 but not in 6.1,,
recover_p_promiscg,TABLE exists in 7.0 but not in 6.1,,
recover_p_ps,TABLE exists in 7.0 but not in 6.1,,
recover_p_pscg,TABLE exists in 7.0 but not in 6.1,,
recover_p_sdoh,TABLE exists in 7.0 but not in 6.1,,
recover_p_sdohcg,TABLE exists in 7.0 but not in 6.1,,
recover_p_sdohhh,TABLE exists in 7.0 but not in 6.1,,
recover_p_vacc,TABLE exists in 7.0 but not in 6.1,,
recover_p_vacccg,TABLE exists in 7.0 but not in 6.1,,
recover_p_wbcg,TABLE exists in 7.0 but not in 6.1,,
recover_y_atr,TABLE exists in 7.0 but not in 6.1,,
sdev_p_incar,TABLE exists in 7.0 but not in 6.1,,
sdev_y_gma,TABLE exists in 7.0 but not in 6.1,,
sdev_y_incar,TABLE exists in 7.0 but not in 6.1,,
sdev_y_pol,TABLE exists in 7.0 but not in 6.1,,
sips_p_criter,TABLE exists in 7.0 but not in 6.1,,
sips_p_discomm,TABLE exists in 7.0 but not in 6.1,,
sips_p_dysmood,TABLE exists in 7.0 but not in 6.1,,
sips_p_gaf,TABLE exists in 7.0 but not in 6.1,,
sips_p_grand,TABLE exists in 7.0 but not in 6.1,,
sips_p_intro,TABLE exists in 7.0 but not in 6.1,,
sips_p_percabn,TABLE exists in 7.0 but not in 6.1,,
sips_p_spd,TABLE exists in 7.0 but not in 6.1,,
sips_p_susp,TABLE exists in 7.0 but not in 6.1,,
sips_p_utc,TABLE exists in 7.0 but not in 6.1,,
sips_y_criter,TABLE exists in 7.0 but not in 6.1,,
sips_y_discomm,TABLE exists in 7.0 but not in 6.1,,
sips_y_dysmood,TABLE exists in 7.0 but not in 6.1,,
sips_y_gaf,TABLE exists in 7.0 but not in 6.1,,
sips_y_grand,TABLE exists in 7.0 but not in 6.1,,
sips_y_intro,TABLE exists in 7.0 but not in 6.1,,
sips_y_percabn,TABLE exists in 7.0 but not in 6.1,,
sips_y_spd,TABLE exists in 7.0 but not in 6.1,,
sips_y_susp,TABLE exists in 7.0 but not in 6.1,,
sips_y_utc,TABLE exists in 7.0 but not in 6.1,,
su_y_dyn,TABLE exists in 7.0 but not in 6.1,,
