name_6_0,name_7_0
le_l_nbhsoc__addr1__aff_score,le_l_nbhsoc__addr1__factor2_score
le_l_o3__addr1__o3_mean__2016,le_l_o3__addr3__o3_mean__2016
le_l_o3__addr2__o3_mean__2016,le_l_o3__addr1__o3_mean__2016
le_l_o3__addr3__o3_mean__2016,le_l_o3__addr2__o3_mean__2016
ph_y_pq__foot__topl_001,ph_y_pq__foot__topr_001
ph_y_pq__foot__topr_001,ph_y_pq__foot__topl_001
ph_y_pq__hand__plmr_001,ph_y_pq__hand__plml_001
ph_y_pq__hand__plml_001,ph_y_pq__hand__plmr_001
mr_y_qc__mot__tfmri__fdsub_count,mr_y_qc__mot__tfmri__mid__fdsub_count
mr_y_qc__post__man__fmri__container_type,mr_y_qc__post__man__fmri__contain_type
mr_y_qc__raw__dmri__mot__comp__nody_mean,mr_y_qc__raw__dmri__mot__nody__comp_mean
mr_y_qc__raw__rsfmri__pass__qc__protcom_count,mr_y_qc__raw__rsfmri__pass__qc__protcom__comp_count
mr_y_qc__raw__tfmri__mid__pass__qc__protcom_count,mr_y_qc__raw__tfmri__mid__pass__qc__protcom__comp_count
mr_y_qc__raw__tfmri__nback__pass__qc__protcom_count,mr_y_qc__raw__tfmri__nback__pass__qc__protcom__comp_count
mr_y_qc__raw__rsfmri__snr__brain__comp_mean,mr_y_qc__raw__rsfmri__snr__comp_mean
mr_y_qc__raw__tfmri__mid__snr__brain__comp_mean,mr_y_qc__raw__tfmri__mid__snr__comp_mean
mr_y_qc__raw__tfmri__nback__snr__brain__comp_mean,mr_y_qc__raw__tfmri__nback__snr__comp_mean
mr_y_qc__raw__tfmri__sst__snr__brain__comp_mean,mr_y_qc__raw__tfmri__sst__snr__comp_mean
mr_y_qc__raw__rsfmri__snr__brain__comp_med,mr_y_qc__raw__rsfmri__snr__comp_med
mr_y_qc__raw__tfmri__mid__snr__brain__comp_med,mr_y_qc__raw__tfmri__mid__snr__comp_med
mr_y_qc__raw__tfmri__nback__snr__brain__comp_med,mr_y_qc__raw__tfmri__nback__snr__comp_med
mr_y_qc__raw__tfmri__sst__snr__brain__comp_med,mr_y_qc__raw__tfmri__sst__snr__comp_med
mr_y_qc__raw__rsfmri__snr__brain__comp_std,mr_y_qc__raw__rsfmri__snr__comp_std
mr_y_qc__raw__tfmri__mid__snr__brain__comp_std,mr_y_qc__raw__tfmri__mid__snr__comp_std
mr_y_qc__raw__tfmri__nback__snr__brain__comp_std,mr_y_qc__raw__tfmri__nback__snr__comp_std
mr_y_qc__raw__tfmri__sst__snr__brain__comp_std,mr_y_qc__raw__tfmri__sst__snr__comp_std
mr_y_qc__raw__dmri__series__comp_count,mr_y_qc__raw__dmri__pass__protcom__comp_count
mh_y_ksads__suic__attmpt__count__past_sx,removed
mr_y_adm__nts__tfmri__mid_order,mr_y_adm__nts__tfmri__nonrand__mid_order
mr_y_adm__nts__tfmri__mid__nonrand_order,mr_y_adm__nts__tfmri__nonrand__mid__trial_order
mr_y_adm__nts__tfmri__mid_ver,mr_y_adm__nts__tfmri__nonrand__mid_ver
mr_y_adm__nts__tfmri__nback_order,mr_y_adm__nts__tfmri__nonrand__nback_order
mr_y_adm__nts__tfmri__nback__nonrand_order,mr_y_adm__nts__tfmri__nonrand__nback__trial_order
mr_y_adm__nts__tfmri__nback_ver,mr_y_adm__nts__tfmri__nonrand__nback_ver
mr_y_adm__nts__tfmri__sst_order,mr_y_adm__nts__tfmri__nonrand__sst_order
mr_y_adm__nts__tfmri__sst__nonrand_order,mr_y_adm__nts__tfmri__nonrand__sst__trial_order
mr_y_qc__mot__rsfmri__point_count,mr_y_qc__mot__rsfmri__vol__censor_count
mr_y_qc__mot__tfmri__mot_max,mr_y_qc__mot__tfmri__mid_max
mr_y_qc__mot__tfmri__mot_mean,mr_y_qc__mot__tfmri__mid_mean
