table_name,difference,name,details
ab_g_dyn,VALUES differ between 6.0 and 6.1,ab_g_dyn__design_site,2 cases
fc_p_vs,COLUMN exists in 6.1 but not in 6.0,fc_p_vs__famil_mean,
fc_p_vs,COLUMN exists in 6.1 but not in 6.0,fc_p_vs__famil_nm,
fc_p_vs,COLUMN exists in 6.1 but not in 6.0,fc_p_vs__famil_mean__v01,
fc_p_vs,COLUMN exists in 6.1 but not in 6.0,fc_p_vs__famil_nm__v01,
fc_y_vs,COLUMN exists in 6.1 but not in 6.0,fc_y_vs__famil_mean,
fc_y_vs,COLUMN exists in 6.1 but not in 6.0,fc_y_vs__famil_nm,
fc_y_vs,COLUMN exists in 6.1 but not in 6.0,fc_y_vs__famil_mean__v01,
fc_y_vs,COLUMN exists in 6.1 but not in 6.0,fc_y_vs__famil_nm__v01,
mh_t_bpm,VALUES differ between 6.0 and 6.1,mh_t_bpm__attn_tscore,11253 cases
mh_t_bpm,VALUES differ between 6.0 and 6.1,mh_t_bpm__ext_tscore,23259 cases
mh_t_bpm,VALUES differ between 6.0 and 6.1,mh_t_bpm__int_tscore,23102 cases
mh_t_bpm,VALUES differ between 6.0 and 6.1,mh_t_bpm_tscore,23354 cases
mh_y_bpm,VALUES differ between 6.0 and 6.1,mh_y_bpm__attn_tscore,55415 cases
mh_y_bpm,VALUES differ between 6.0 and 6.1,mh_y_bpm__ext_tscore,79491 cases
mh_y_bpm,VALUES differ between 6.0 and 6.1,mh_y_bpm__int_tscore,84615 cases
mh_y_bpm,VALUES differ between 6.0 and 6.1,mh_y_bpm_tscore,84351 cases
mr_y_qc__incl,VALUES differ between 6.0 and 6.1,mr_y_qc__incl__tfmri__sst_indicator,3152 cases
mr_y_tfmri__sst__beh,VALUES differ between 6.0 and 6.1,mr_y_tfmri__sst__beh__qc_indicator,3524 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__50congr__incongr__angf_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__50congr__incongr_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__50congr_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__75congr__congr__angf_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__75congr__congr_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__75congr_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__congr_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est__incongr_rt,1 cases
nc_y_est,VALUES differ between 6.0 and 6.1,nc_y_est_rt,2 cases
nc_y_nihtb,COLUMN exists in 6.0 but not in 6.1,nc_y_nihtb__comp__fluid_dtt,
