table_name,name,name_nda,value_old,value_new,label
ab_p_demo,ab_p_demo__empl__prtnr_001__v01,demo_prtnr_empl_v2_l,12,777,Decline to answer
ab_p_demo,ab_p_demo__empl__prtnr_001__v01,demo_prtnr_empl_v2_l,13,999,Don't know
ab_p_demo,ab_p_demo__ethn_001,demo_ethn_v2,2,0,No
ab_p_demo,ab_p_demo__ethn__slf_001,demo_prnt_ethn_v2,2,0,No
ab_p_demo,ab_p_demo__ethn__slf_001__v01,demo_prnt_ethn_v2_l,2,0,No
ab_p_demo,ab_p_demo__prtnr_001,demo_prnt_prtnr_v2 | demo_prnt_prtnr_v2_l,2,0,No
ab_p_demo,ab_p_demo__prtnr_001,demo_prnt_prtnr_v2 | demo_prnt_prtnr_v2_l,2,0,No
ab_p_demo,ab_p_demo__prtnr_001__01,demo_prnt_prtnr_bio | demo_prnt_prtnr_bio_l,2,0,No
ab_p_demo,ab_p_demo__prtnr_001__01,demo_prnt_prtnr_bio | demo_prnt_prtnr_bio_l,2,0,No
ab_p_demo,ab_p_demo__roster_001__dk,demo_roster_v2_refuse | demo_roster_v2_refuse_l,-1,444,"Not applicable (for example, lives in a shelter or homeless)"
ab_p_ocp,ab_p_ocp__prtn_000,ocp_prtnr_p,2,0,No
ab_p_screen,ab_p_screen__claustro_001,scrn_claustrophob,0,3,Unsure
ab_p_screen,ab_p_screen__claustro_001,scrn_claustrophob,1,0,No
ab_p_screen,ab_p_screen__claustro_001,scrn_claustrophob,2,1,Yes - go to end
ab_p_screen,ab_p_screen__concern_001__02,scrn_concerns_excl,0,1,Yes - go to end
ab_p_screen,ab_p_screen__concern_001__02,scrn_concerns_excl,1,0,No
ab_p_screen,ab_p_screen__med_002,scrn_cpalsy,0,1,Yes - go to end
ab_p_screen,ab_p_screen__med_002,scrn_cpalsy,1,0,No (Continue)
ab_p_screen,ab_p_screen__med_003,scrn_tumor,0,1,Yes - go to end
ab_p_screen,ab_p_screen__med_003,scrn_tumor,1,0,No (Continue)
ab_p_screen,ab_p_screen__med_004,scrn_stroke,0,1,Yes - go to end
ab_p_screen,ab_p_screen__med_004,scrn_stroke,1,0,No (Continue)
ab_p_screen,ab_p_screen__med_005,scrn_aneurysm,0,1,Yes - go to end
ab_p_screen,ab_p_screen__med_005,scrn_aneurysm,1,0,No (Continue)
ab_p_screen,ab_p_screen__med_006,scrn_hemorrhage,0,1,Yes - go to end
ab_p_screen,ab_p_screen__med_006,scrn_hemorrhage,1,0,No (Continue)
ab_p_screen,ab_p_screen__med_007,scrn_hemotoma,0,1,Yes - go to end
ab_p_screen,ab_p_screen__med_007,scrn_hemotoma,1,0,No (Continue)
