Release,File,Download,Category,Type
5.1,Release Notes,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/5.1_Release_Notes.pdf,Readme,Release note
5.1,ABCD General Data ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_ABCD_General_Data.pdf,Non-imaging,Release note
5.1,Culture & Environment ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Culture_&_Environment.pdf,Non-imaging,Release note
5.1,Gender Identity & Sexual Health ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Gender_Identity_&_Sexual_Health.pdf,Non-imaging,Release note
5.1,Genetics ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Genetics.pdf,Non-imaging,Release note
5.1,Linked External Data ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Linked_External_Data.pdf,Non-imaging,Release note
5.1,Mental Health ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Mental_Health.pdf,Non-imaging,Release note
5.1,Neurocognition ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Neurocognition.pdf,Non-imaging,Release note
5.1,Novel Technologies ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Novel_Technologies.pdf,Non-imaging,Release note
5.1,Physical Health ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Physical_Health.pdf,Non-imaging,Release note
5.1,Substance Use ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/non_imaging/5.1_Substance_Use.pdf,Non-imaging,Release note
5.1,Administrative Imaging Tables ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Administrative_Imaging_Tables.pdf,Imaging,Release note
5.1,Behavioral Performance During Task-Based fMRI ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Behavioral_Performance_During_Task-Based_fMRI.pdf,Imaging,Release note
5.1,Diffusion Magnetic Resonance Imaging ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.1,Imaging Overview ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Imaging_Overview.pdf,Imaging,Release note
5.1,MRI Quality Control & Recommended Image Inclusion Criteria ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_MRI_Quality_Control_&_Recommended_Image_Inclusion_Criteria.pdf,Imaging,Release note
5.1,Resting-State Magnetic Resonance Imaging ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Resting-State_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.1,Structural Magnetic Resonance Imaging ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.1,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
5.1,Task-Based Functional Magnetic Resonance Imaging ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/imaging/5.1_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.1,COVID Rapid Response Research (RRR) Survey ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/substudies/5.1_COVID_Rapid_Response_Research_(RRR)_Survey.pdf,Substudy,Release note
5.1,Endocannabinoid (eCB) Substudy ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/substudies/5.1_Endocannabinoid_(eCB)_Substudy.pdf,Substudy,Release note
5.1,Social Development Substudy ,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.1/substudies/5.1_Social_Development_Substudy.pdf,Substudy,Release note
5.0,Release Notes,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/5.0_Release_Notes.pdf,Readme,Release note
5.0,ABCD General Data,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_ABCD_General_Data.pdf,Non-imaging,Release note
5.0,Culture & Environment,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Culture_&_Environment.pdf,Non-imaging,Release note
5.0,Gender Identity & Sexual Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Gender_Identity_&_Sexual_Health.pdf,Non-imaging,Release note
5.0,Genetics,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Genetics.pdf,Non-imaging,Release note
5.0,Linked External Data,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Linked_External_Data.pdf,Non-imaging,Release note
5.0,Mental Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Mental_Health.pdf,Non-imaging,Release note
5.0,Neurocognition,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Neurocognition.pdf,Non-imaging,Release note
5.0,Novel Technologies,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Novel_Technologies.pdf,Non-imaging,Release note
5.0,Physical Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Physical_Health.pdf,Non-imaging,Release note
5.0,Substance Use,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/non_imaging/5.0_Substance_Use.pdf,Non-imaging,Release note
5.0,Administrative Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Administrative_Imaging_Tables.pdf,Imaging,Release note
5.0,Behavioral Performance During Task-Based fMRI,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Behavioral_Performance_During_Task-Based_fMRI.pdf,Imaging,Release note
5.0,Diffusion Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Diffusion_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,Imaging Overview,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Imaging_Overview.pdf,Imaging,Release note
5.0,MRI Quality Control & Recommended Image Inclusion Criteria,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_MRI_Quality_Control_&_Recommended_Image_Inclusion_Criteria.pdf,Imaging,Release note
5.0,Resting-State Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Resting-State_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,Structural Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Structural_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,Supplementary Imaging Tables,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Supplementary_Imaging_Tables.pdf,Imaging,Accessory file
5.0,Task-Based Functional Magnetic Resonance Imaging,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/imaging/5.0_Task-Based_Functional_Magnetic_Resonance_Imaging.pdf,Imaging,Release note
5.0,COVID Rapid Response Research (RRR) Survey,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/substudies/5.0_COVID_Rapid_Response_Research_(RRR)_Survey.pdf,Substudy,Release note
5.0,Endocannabinoid (eCB) Substudy,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/substudies/5.0_Endocannabinoid_(eCB)_Substudy.pdf,Substudy,Release note
5.0,Social Development Substudy,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/5.0/substudies/5.0_Social_Development_Substudy.pdf,Substudy,Release note
4.0,Release Notes ABCD README FIRST,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Release_Notes_ABCD_README_FIRST.pdf,Readme,Release note
4.0,Culture and Environment,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Culture_and_Environment.pdf,Non-imaging,Release note
4.0,Gender Identity Sexual Health,https://pub-b7c7cae63bc24750af5a1f9ed7e788a7.r2.dev/4.0/NDA_4.0_Gender_Identity_Sexual_Health.pdf,Non-imaging,Release note
