name,name_nda (previously used),name_nda (correct),label (correct)
mr_y_rsfmri__corr__gpnet__aseg__aud__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_vtdclh,rsfmri_cor_ngd_au_scs_aalh,Average correlation between Gordon network: auditory & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__ag__lh_mean,rsfmri_cor_ngd_dsa_scs_hprh,rsfmri_cor_ngd_au_scs_aglh,Average correlation between Gordon network: auditory & Subcortical ROI: amygdala (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__cbc__lh_mean,rsfmri_cor_ngd_au_scs_crcxlh,rsfmri_cor_ngd_au_scs_crcxlh,Average correlation between Gordon network: auditory & Subcortical ROI: cerebellum cortex (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__cd__lh_mean,rsfmri_cor_ngd_cerc_scs_aglh,rsfmri_cor_ngd_au_scs_cdelh,Average correlation between Gordon network: auditory & Subcortical ROI: caudate (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__hc__lh_mean,rsfmri_cor_ngd_dsa_scs_cdelh,rsfmri_cor_ngd_au_scs_hplh,Average correlation between Gordon network: auditory & Subcortical ROI: hippocampus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__pl__lh_mean,rsfmri_cor_ngd_copa_scs_plrh,rsfmri_cor_ngd_au_scs_pllh,Average correlation between Gordon network: auditory & Subcortical ROI: pallidum (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__pt__lh_mean,rsfmri_cor_ngd_copa_scs_thplh,rsfmri_cor_ngd_au_scs_ptlh,Average correlation between Gordon network: auditory & Subcortical ROI: putamen (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__th__lh_mean,rsfmri_cor_ngd_au_scs_ptrh,rsfmri_cor_ngd_au_scs_thplh,Average correlation between Gordon network: auditory & Subcortical ROI: thalamus (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__aud__vdc__lh_mean,rsfmri_cor_ngd_none_scs_ptlh,rsfmri_cor_ngd_au_scs_vtdclh,Average correlation between Gordon network: auditory & Subcortical ROI: ventral diencephalon (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__ab__lh_mean,rsfmri_cor_ngd_fopa_scs_crcxrh,rsfmri_cor_ngd_cerc_scs_aalh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: accumbens area (left hemisphere)
mr_y_rsfmri__corr__gpnet__aseg__cio__ag__lh_mean,rsfmri_cor_ngd_dsa_scs_agrh,rsfmri_cor_ngd_cerc_scs_aglh,Average correlation between Gordon network: cingulo-opercular & Subcortical ROI: amygdala (left hemisphere)
