id_category,tm_created
book,2021-11-24T00:00:00Z
business,2021-11-24T00:00:00Z
developer_tools,2021-11-24T00:00:00Z
education,2021-11-24T00:00:00Z
entertainment,2021-11-24T00:00:00Z
finance,2021-11-24T00:00:00Z
food_and_drink,2021-11-24T00:00:00Z
games,2021-11-24T00:00:00Z
graphics_and_design,2021-11-24T00:00:00Z
health_and_fitness,2021-11-24T00:00:00Z
kids,2021-11-24T00:00:00Z
lifestyle,2021-11-24T00:00:00Z
magazines_and_newspapers,2021-11-24T00:00:00Z
medical,2021-11-24T00:00:00Z
music,2021-11-24T00:00:00Z
navigation,2021-11-24T00:00:00Z
news,2021-11-24T00:00:00Z
photo_and_video,2021-11-24T00:00:00Z
productivity,2021-11-24T00:00:00Z
reference,2021-11-24T00:00:00Z
shopping,2021-11-24T00:00:00Z
social_networking,2021-11-24T00:00:00Z
sports,2021-11-24T00:00:00Z
travel,2021-11-24T00:00:00Z
utilities,2021-11-24T00:00:00Z
weather,2021-11-24T00:00:00Z
