Domain,Hierarchy,Themes
Altered Sense of Reality,-,Active Imagination
Responses/Consequences,-,Affects Behavior
Responses/Consequences,Affects Behavior,Affects Focus
Unconventional Beliefs,Unconventional Beliefs,Alternative Religious Beliefs
Responses/Consequences,Emotional Response,Anxiety
Specificity,Conditional/In Specific Environments,At Home
Specificity,Conditional/At Specific Time,At Night
Specificity,Conditional,At Specific Time
External Influences on Mental Health,-,Based on Actions of Others
External Influences on Mental Health,-,Based on Past Experiences
Influential Beliefs,-,Beliefs About Self
Influential Beliefs,-,Beliefs about Symptoms
Influential Beliefs,Beliefs About Symptoms,Benefits from Experience
Change,-,Better Recently
Altered Sense of Reality,Surreal,Blurred Boundary Between Dream and Reality
Responses/Consequences,Emotional Response/Self-Conscious,Body Image
Responses/Consequences,Distress,Bothers
Sensory Experiences,Voice,Commanding
Mind and Thought Disturbances,-,Compulsions
Specificity,-,Conditional
Responses/Consequences,Emotional Response,Confusion
Influential Beliefs,-,Cultural Beliefs
Consistent with Norms,-,Culturally Atypical 
Consistent with Norms,-,Culturally Normative
External Influences on Mental Health,-,Current Affairs
Altered Sense of Reality,-,Daydreams
Altered Sense of Reality,-,Déjà Vu
Perplexing Experiences,Experiential Ambiguity,Difficulty Differentiating Emotions
Interpersonal Dynamics,-,Difficulty with Interpersonal Relationships
Responses/Consequences,Affects Behavior,Discusses with Others
Altered Sense of Reality,-,Dissociation
Responses/Consequences,-,Distress
Altered Sense of Reality,Surreal,Doubts Reality of Memories
Self Originated Influences,Related to Mental Health Diagnosis,Due To Anxiety
Self Originated Influences,-,Due to Medical Condition
Self Originated Influences,Related to Mental Health Diagnosis,Due to Neurodivergence
Responses/Consequences,-,Emotional Response
Responses/Consequences,Affects Behavior,Engaged in Reality Testing
Altered Sense of Reality,-,Existentialism
Perplexing Experiences,-,Experiential Ambiguity
Consistent with Norms,-,Familial Beliefs
Responses/Consequences,Emotional Response,Fear
Interpersonal Dynamics,Difficulty with Interpersonal Relationships,Feels Judged
Unconventional Beliefs,Unconventional Experiences/Abilities,Foresight
Unconventional Beliefs,Unconventional Beliefs,Fringe Scientific Beliefs
Self Originated Influences,Related to Mental Health Diagnosis/Anxiety,Health Anxiety
Strategies and Protective Factors,-,Help-Seeking
Strategies and Protective Factors,Help-Seeking,Hospitalized
Mind and Thought Disturbances,-,Ideas of Reference
External Influences on Mental Health,Current Affairs,Impacted by Media
Interpersonal Dynamics,-,Impacts Interpersonal Relationships
Specificity,Conditional,In Specific Environments
Strategies and Protective Factors,-,Insight
Mind and Thought Disturbances,-,Intrusive Thoughts
Perplexing Experiences,-,Intuition
Influential Beliefs,-,Moral Beliefs
Perplexing Experiences,Intuition,Negative Gut Feeling
Influential Beliefs,Beliefs About Self,Negative Self-Referential Thoughts
Interpersonal Dynamics,Impacts Interpersonal Relationships,Noticeable to Others
Unconventional Beliefs,Unconventional Beliefs,Paranormal Beliefs
Mind and Thought Disturbances,-,Perceived External Influence on Mind
Altered Sense of Reality,-,Perceived Time Distortion
Self Originated Influences,-,Personality Trait/Temperament
Influential Beliefs,-,Political Beliefs
Altered Sense of Reality,Existentialism,Questions Existence of Self
Altered Sense of Reality,Existentialism,Questions Existence of World
External Influences on Mental Health,-,Real Stressor Present
Self Originated Influences,-,Related to Mental Health Diagnosis
Influential Beliefs,-,Religiosity
Strategies and Protective Factors,Help-Seeking,Seeks Support from Parents
Responses/Consequences,Emotional Response,Self-Conscious
Responses/Consequences,Affects Behavior,Self-Harm 
Influential Beliefs,Beliefs About Self,Self-Referential Interpretation
Responses/Consequences,Emotional Response/Anxiety,Social Anxiety
Influential Beliefs,-,Social Justice Beliefs
Responses/Consequences,-,Somatic/Physical Symptoms
Unconventional Beliefs,Unconventional Beliefs,Supernatural Beliefs
Unconventional Beliefs,Unconventional Beliefs,Superstitious
Altered Sense of Reality,-,Surreal
External Influences on Mental Health,-,Trauma
Consistent with Norms,-,Typical Experience
Consistent with Norms,Typical Experience,Typical Teenage Experience
Specificity,-,Unclear Cause or Maintaining Factors
Specificity,-,Unclear Conviction
Influential Beliefs,Beliefs About Symptoms,Uncontrollable
Unconventional Beliefs,-,Unconventional Beliefs
Unconventional Beliefs,-,Unconventional Experiences/Abilities
Strategies and Protective Factors,-,Uses Coping Strategies
Responses/Consequences,Affects Behavior,Vigilance
Sensory Experiences,-,Voice
Self Originated Influences,-,Worse with Dysregulated Emotions
Altered Sense of Reality,-,Zones Out
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
