Domain,Hierarchy,Themes
Altered Sense of Reality,-,Active Imagination
Altered Sense of Reality,Surreal,Blurred Boundary Between Dream and Reality
Altered Sense of Reality,Active Imagination,Creates Stories
Altered Sense of Reality,-,Daydreams
Altered Sense of Reality,-,Déjà Vu
Altered Sense of Reality,-,Dissociation
Altered Sense of Reality,Surreal,Doubts Reality of Memories
Altered Sense of Reality,-,Dreams
Altered Sense of Reality,-,Existentialism
Altered Sense of Reality,Active Imagination,Imaginary Friend
Altered Sense of Reality,-,Perceived Time Distortion
Altered Sense of Reality,-,Poor Memory
Altered Sense of Reality,Dreams,Precognitive Dreams
Altered Sense of Reality,Existentialism,Questions Existence of Self
Altered Sense of Reality,Existentialism,Questions Existence of World
Altered Sense of Reality,-,Surreal
Altered Sense of Reality,-,Zones Out
Change,-,Always Experienced
Change,-,Better Recently
Change,-,Has Become Used to Experience
Change,-,Worse Recently
Consistent with Norms,Experience Inconsistent with Others/Belief Inconsistent with Others,Belief Inconsistent with Family
Consistent with Norms,Experience Inconsistent with Others,Belief Inconsistent with Others
Consistent with Norms,-,Conviction Consistent with Others
Consistent with Norms,Experience Inconsistent with Others,Conviction Inconsistent with Others
Consistent with Norms,-,Culturally Normative
Consistent with Norms,-,Experience Inconsistent with Others
Consistent with Norms,-,Familial Beliefs
Consistent with Norms,-,Typical Experience
Consistent with Norms,Typical Experience,Typical Teenage Experience
External Influences on Mental Health,-,Based on Actions of Others
External Influences on Mental Health,-,Based on Past Experiences
External Influences on Mental Health,-,Current Affairs
External Influences on Mental Health,Real Stressor Present,Difficult Home Environment
External Influences on Mental Health,Current Affairs,Impacted by Media
External Influences on Mental Health,-,Real Stressor Present
External Influences on Mental Health,-,Trauma
External Influences on Mental Health,-,Unsupported by Others
Influential Beliefs,Beliefs About Symptoms,Adaptive
Influential Beliefs,-,Beliefs About Others
Influential Beliefs,-,Beliefs About Self
Influential Beliefs,-,Beliefs About Symptoms
Influential Beliefs,Beliefs About Symptoms,Benefits from Experience
Influential Beliefs,Religiosity,Christianity
Influential Beliefs,Beliefs About Symptoms,Controllable
Influential Beliefs,-,Cultural Beliefs
Influential Beliefs,Beliefs About Self,Deserves to be Punished
Influential Beliefs,Beliefs About Self,Guilt
Influential Beliefs,-,Moral Beliefs
Influential Beliefs,Beliefs About Others,Negative Perceptions of Others
Influential Beliefs,Beliefs About Self,Negative Self-Referential Thoughts
Influential Beliefs,-,Political Beliefs
Influential Beliefs,Political Beliefs,Progressive
Influential Beliefs,-,Religiosity
Influential Beliefs,Beliefs About Self,Self-Referential Interpretation
Influential Beliefs,-,Social Justice Beliefs
Influential Beliefs,Beliefs About Self,Unique
Interpersonal Dynamics,-,Difficulty with Interpersonal Relationships
Interpersonal Dynamics,Difficulty with Interpersonal Relationships,Feels Judged
Interpersonal Dynamics,-,Impacts Interpersonal Relationships
Interpersonal Dynamics,Impacts Interpersonal Relationships,Noticeable to Others
Interpersonal Dynamics,Social Isolation,Self-Isolating
Interpersonal Dynamics,-,Social Isolation
Sensory Experiences,Voice,Commanding
Mind and Thought Disturbances,-,Compulsions
Mind and Thought Disturbances,-,Ideas of Reference
Mind and Thought Disturbances,-,Intrusive Thoughts
Mind and Thought Disturbances,-,Mind Reading
Mind and Thought Disturbances,-,Perceived External Influence on Mind
Sensory Experiences,-,Voice
Perplexing Experiences,Intuition/Negative Gut Feeling,Catastrophizing
Perplexing Experiences,Experiential Ambiguity,Difficulty Differentiating Emotions
Perplexing Experiences,-,Experiential Ambiguity
Perplexing Experiences,Intuition,Interpersonal Intuition
Perplexing Experiences,-,Intuition
Perplexing Experiences,Intuition,Negative Gut Feeling
