study,domain,domain_abbr,sub_domain,source,metric,atlas,table_name,table_label,url_docs,url_deap,url_score,n_total,n_admin,n_item,n_derived,n_score,type,00S,00A,00M,01A,01M,02A,02M,03A,03M,04A,04M,05A,05M,06A,C01,C02,C03,C04,C05,C06,C07,S01,S02,S03,S04,S05
Core,ABCD (General),ab,Demographics,Parent,,,ab_p_demo,Demographics [Parent],/documentation/non_imaging/ab.html#ab_p_demo,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Demographics%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,236,3,233,,,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,ABCD (General),ab,Demographics,Parent,,,ab_p_ocp,Occupation Survey [Parent],/documentation/non_imaging/ab.html#ab_p_ocp,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Occupation%20Survey%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,56,3,53,,,dynamic,,,,,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,ABCD (General),ab,Screener,Parent,,,ab_p_screen,Screener (Study Eligibility) [Parent],/documentation/non_imaging/ab.html#ab_p_screen,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Screener%20%28Study%20Eligibility%29%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,90,3,87,,,dynamic,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
Core,ABCD (General),ab,Standard Variables,General,,,ab_g_stc,ABCD Static Variables [General],/documentation/non_imaging/ab.html#ab_g_stc,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22General%22%2C%22ABCD%20Static%20Variables%20%5BGeneral%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#abcd-static-variables-general-,49,9,,,40,static,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,ABCD (General),ab,Standard Variables,General,,,ab_g_dyn,ABCD Dynamic Variables [General],/documentation/non_imaging/ab.html#ab_g_dyn,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22General%22%2C%22ABCD%20Dynamic%20Variables%20%5BGeneral%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#abcd-dynamic-variables-general-,24,19,,,5,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Cognition,Youth,,,fc_y_wpss,Wills Problem Solving Scale [Youth],/documentation/non_imaging/fc.html#fc_y_wpss,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Wills%20Problem%20Solving%20Scale%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#wills-problem-solving-scale-youth-,11,3,6,,2,dynamic,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Community,Parent,,,fc_p_nce,Neighborhood Collective Efficacy [Parent],/documentation/non_imaging/fc.html#fc_p_nce,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Neighborhood%20Collective%20Efficacy%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#neighborhood-collective-efficacy-parent-,19,3,10,,6,dynamic,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Community,Parent,,,fc_p_nsc,Neighborhood Safety & Crime [Parent],/documentation/non_imaging/fc.html#fc_p_nsc,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Neighborhood%20Safety%20%26%20Crime%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#neighborhood-safety-crime-parent-,25,3,20,,2,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Community,Youth,,,fc_y_as,Activity Space [Youth],/documentation/non_imaging/fc.html#fc_y_as,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Activity%20Space%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#activity-space-youth-,35,3,6,24,2,dynamic,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Community,Youth,,,fc_y_eut,Experiences with Unfair Treatment [Youth],/documentation/non_imaging/fc.html#fc_y_eut,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Experiences%20with%20Unfair%20Treatment%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,https://software.nbdc-datahub.org/ABCDscores/reference/index.html#experiences-with-unfair-treatment-youth-,30,3,25,,2,dynamic,,,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Community,Youth,,,fc_y_nsc,Neighborhood Safety & Crime [Youth],/documentation/non_imaging/fc.html#fc_y_nsc,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Youth%22%2C%22Neighborhood%20Safety%20%26%20Crime%20%5BYouth%5D%22%5D%5D#/my-datasets/create-dataset,,22,3,19,,,dynamic,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,
Core,"Friends, Family, & Community",fc,Culture,Parent,,,fc_p_aclt,Acculturation [Parent],/documentation/non_imaging/fc.html#fc_p_aclt,https://abcd.deapscience.com/?hierarchyOrder=%5B%22study%22%2C%22domain%22%2C%22subDomain%22%2C%22source%22%2C%22metric%22%2C%22atlas%22%5D&hierarchy=%5B%5B%22Parent%22%2C%22Acculturation%20%5BParent%5D%22%5D%5D#/my-datasets/create-dataset,,9,3,6,,,dynamic,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,
